year,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public disorder and weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences,Violent crime
2010,10420,0,6551,0,0,13414,0,0,0,0,2355,0,0,6248,0,8102
2011,155433,0,81469,19535,13955,141003,38910,0,8870,0,30930,7346,0,84300,0,103266
2012,170640,0,93839,59750,49382,48494,194928,0,30257,0,34684,37063,0,95208,0,133403
2013,151446,14421,87251,54869,48044,13101,138501,2292,8912,18278,29626,37266,30451,89272,92071,41321
2014,136252,17669,75776,57010,41293,7726,112987,3397,0,34730,22240,40735,32377,81835,165926,0
2015,124570,16853,70143,60453,35691,9440,112216,3725,0,41707,21439,43239,35315,82364,191121,0
2016,129451,18661,67815,61791,35066,10735,108823,4573,0,45166,22178,47628,36585,89481,202296,0
2017,125405,21649,75261,60933,32940,10559,109769,6658,0,47440,30474,48089,48313,103428,213333,0
2018,121529,19993,80328,56396,33728,10636,117194,6742,0,47244,31831,44834,44057,112867,223879,0
2019,130470,18956,79078,52597,44197,10318,125684,6448,0,47904,36439,43969,53554,118570,212796,0
2020,183020,23952,61040,50692,52064,10212,82731,5788,0,52702,26751,35257,31542,108329,222856,0
2021,153877,21247,53477,52596,43295,10315,90176,4872,0,58285,22254,33641,38221,100261,241500,0
2022,121990,18514,53543,53452,41830,11013,124710,5063,0,56246,26608,38691,59157,109336,243688,0
2023,121976,16481,56385,57682,37359,10869,138359,5098,0,58121,32643,58651,74266,106320,262776,0
2024,125626,15579,52840,55661,38447,11635,112528,4537,0,55136,33453,84327,99023,96793,254887,0
2025,127974,14115,48143,54998,54044,13277,102054,5740,0,58425,31568,88214,86639,84302,271727,0
2026,9183,860,4290,4245,4366,1056,7680,533,0,4139,2444,6582,5885,6633,22116,0
