LSOA name,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public disorder and weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences,Violent crime
City of London 001F,7.443272347673205,3.388550079665952,3.6234272842151527,3.2635569474204713,5.9928025932641065,2.7333662985550244,26.449096203505302,0.6304598648425911,0.29943409702763585,4.771715839789023,1.535629910444481,13.502005384319544,9.629965386517224,1.8144607439151694,13.720399978023185,1.201857040821933
Hillingdon 031A,6.754352379450913,0.24774216796918988,1.0292560978356342,2.860295939280647,2.2454449224116573,26.780928357469424,28.789892119546856,1.1914146077791041,0.6869214657327537,4.0134231211008755,0.18918492826738137,6.026891286232292,1.5044706200310805,5.141776086124186,11.679917118983807,0.858088781784194
Kingston upon Thames 009C,8.665732445823531,5.052299684700466,1.7516640808768331,4.306591261698613,7.49461988889445,1.4764025824533307,14.038336419598618,0.43541364296081275,0.36784945698413496,5.0072568940493465,2.1170111606025723,21.397827936539713,9.171212652019419,1.3637956058255343,15.226965617336468,2.1270206696361544
Westminster 011B,5.81529901272866,1.0931383410887068,3.5133072358864514,1.4722899278627177,0.834625895560972,1.698796070610828,26.31902897801413,0.1378733042814585,0.14525937415367948,2.0877957505478,3.2744909766846395,18.92311101263018,22.104045104266685,6.046729202058251,5.889159711450871,0.6450501021739665
Westminster 013B,3.893757728910156,0.9043496962202269,2.3850744663691597,1.3914726598204203,4.059358030001612,0.7806871337168665,30.989838163342114,0.19355879348352062,0.25485241141996884,2.3399107478896717,5.3906123985160495,4.734663153933007,31.89633851282327,0.939835475025539,8.91768374643798,0.928006882090435
Westminster 013E,5.2830835957313855,1.030397333954104,3.420772124137762,1.4506426199781914,2.224972126588172,1.5535598328820495,32.861221039218805,0.17030348325757483,0.1874563520748845,1.951751430426739,3.7907840086254425,13.82276185692057,21.710631103051988,2.7493598304316396,6.771707568090764,1.0205956946299268
Westminster 013G,2.413303083942061,0.42133080701054576,1.6628854927575976,0.9747949440303159,1.458452793498043,0.22687043454414002,24.551868564732864,0.11468175812121364,0.0,1.7626087606890877,4.0063822891476155,11.555433671561417,40.739448031712,3.575079155343921,6.536860212909177,0.0
Westminster 018A,4.719265014231739,0.8093352106398711,1.881020633489663,2.4128116041854484,6.103947408405337,0.9582366824346911,28.70151838983823,0.3403462212453025,0.40719994327562975,4.430578487282599,4.469070024209151,3.135034389149438,25.141051224132166,2.1180474661426416,13.087122555027703,1.2854147463103835
Westminster 018B,8.312970627836235,2.904802273973969,3.7126614471650123,2.1119034558420187,1.1968284047274722,1.2766169650426369,32.803071859572135,0.09474891537425822,0.16955069066972522,2.8748815638557823,2.0720091756844363,10.933526155687428,19.31880516630928,2.802573181070164,8.485014711015808,0.9300354061736399
Westminster 018C,8.181502258849228,1.3536547022125138,2.3680683115722583,2.4524648761356302,4.903274917671978,1.2543646262556056,27.905475847689022,0.5725727713515034,0.3144185738635423,3.4602591470982476,4.423372883880257,3.8905161429115163,22.250906021943106,2.9456055867216073,12.510549570570422,1.2129937612735608
